district_name,state_ut,institutional_birth_5y_pct,births_attended_by_skilled_hp_5y_10_pct,mothers_who_had_at_least_4_anc_visits_lb5y_pct,child_12_23m_fully_vaccinated_based_on_information_from_eit_pct,hh_member_covered_health_insurance_pct,child_u5_who_are_stunted_height_for_age_18_pct,non_pregnant_w15_49_who_are_anaemic_lt_12_0_g_dl_22_pct
Fatehgarh Sahib ,Punjab,96.6,98.5,76.0 ,83.6 ,35.1,30.0 ,64.7
Ludhiana ,Punjab,90.1,92.4,65.2 ,(73.2),25.2,22.1 ,65.0
Moga ,Punjab,93.0,95.3,58.4 ,(80.6),23.7,22.0 ,54.7
Muktsar ,Punjab,96.4,96.0,57.9 ,(57.6),23.9,35.0 ,60.9
Faridkot ,Punjab,94.3,97.7,53.4 ,70.8 ,20.4,28.1 ,63.4
Bathinda ,Punjab,93.1,93.2,48.2 ,(66.5),20.1,23.0 ,59.7
Mansa ,Punjab,88.8,93.5,49.4 ,79.1 ,18.4,36.6 ,60.2
Patiala ,Punjab,97.3,97.3,72.0 ,(74.7),33.8,20.3 ,65.1
Amritsar ,Punjab,95.9,98.8,56.5 ,(65.8),26.2,19.4 ,52.6
Tarn Taran ,Punjab,96.0,95.4,60.3 ,81.8 ,25.0,23.8 ,61.9
Rupnagar ,Punjab,97.8,98.7,65.2 ,(76.5),37.8,15.1 ,64.4
Sahibzada Ajit Singh Nagar ,Punjab,97.4,97.9,69.0 ,71.1 ,31.0,26.2 ,59.6
Sangrur ,Punjab,94.7,97.7,47.7 ,(89.6),18.7,23.4 ,52.7
Barnala ,Punjab,96.7,95.3,63.8 ,68.5 ,20.7,33.8 ,55.2
Fazilka ,Punjab,91.7,93.7,36.5 ,(60.5),20.6,35.9 ,67.1
Firozpur ,Punjab,95.5,97.5,48.4 ,74.5 ,21.0,30.0 ,61.4
Gurdaspur ,Punjab,92.4,92.7,61.1 ,80.0 ,23.5,25.1 ,55.7
Pathankot ,Punjab,94.8,95.0,52.4 ,(77.4),27.0,22.1 ,55.8
Ganganagar ,Rajasthan,97.7,98.2,58.7 ,89.7 ,85.3,24.5 ,58.8
Hanumangarh ,Rajasthan,94.9,96.9,53.1 ,83.3 ,89.0,24.2 ,60.4
Bikaner ,Rajasthan,90.0,92.7,50.5 ,75.6 ,87.4,22.8 ,59.4
Churu ,Rajasthan,87.8,89.9,45.0 ,74.3 ,81.9,27.1 ,53.0
Jhunjhunun ,Rajasthan,97.1,98.6,49.2 ,88.7 ,86.1,20.9 ,55.5
Alwar ,Rajasthan,91.3,90.8,30.0 ,59.4 ,80.8,33.9 ,53.3
Bharatpur ,Rajasthan,92.1,90.8,33.2 ,64.1 ,84.8,40.3 ,61.0
Dhaulpur ,Rajasthan,94.4,94.2,42.4 ,85.9 ,89.0,45.7 ,68.8
Karauli ,Rajasthan,97.6,97.6,42.0 ,88.9 ,86.4,37.6 ,61.1
Sawai Madhopur ,Rajasthan,97.4,97.8,47.3 ,54.9 ,80.5,26.9 ,57.6
Dausa ,Rajasthan,98.2,96.1,53.6 ,92.1 ,91.2,37.7 ,60.3
Jaipur ,Rajasthan,97.3,98.0,53.5 ,89.3 ,81.5,25.0 ,54.4
Sikar ,Rajasthan,95.8,94.9,50.4 ,70.0 ,82.4,23.1 ,44.3
Nagaur ,Rajasthan,97.0,96.9,46.2 ,80.6 ,90.0,31.5 ,45.6
Jodhpur ,Rajasthan,90.0,92.6,56.7 ,81.2 ,87.5,32.6 ,44.2
Jaisalmer ,Rajasthan,90.0,93.6,47.6 ,72.0 ,93.7,25.5 ,44.7
Barmer ,Rajasthan,93.3,94.3,64.9 ,92.9 ,97.8,39.1 ,50.0
Jalor ,Rajasthan,95.5,94.8,71.2 ,78.0 ,96.6,44.3 ,60.8
Sirohi ,Rajasthan,95.7,95.9,69.5 ,86.4 ,92.0,30.7 ,65.3
Pali ,Rajasthan,98.8,98.5,45.0 ,90.2 ,96.2,35.9 ,59.7
Ajmer ,Rajasthan,95.1,97.9,52.8 ,78.9 ,88.7,22.3 ,52.5
Tonk ,Rajasthan,97.4,97.9,66.2 ,75.3 ,84.5,33.1 ,52.9
Bundi ,Rajasthan,95.3,95.1,74.0 ,75.7 ,87.7,30.0 ,56.3
Bhilwara ,Rajasthan,95.0,96.0,64.7 ,83.2 ,89.1,22.6 ,50.7
Rajsamand ,Rajasthan,95.1,95.7,60.7 ,71.7 ,93.2,30.3 ,58.6
Dungarpur ,Rajasthan,94.1,95.5,50.6 ,83.3 ,97.5,31.4 ,73.6
Banswara ,Rajasthan,97.7,97.5,69.9 ,83.0 ,84.2,44.6 ,53.1
Chittaurgarh ,Rajasthan,96.8,97.3,75.0 ,87.8 ,90.6,31.4 ,45.4
Kota ,Rajasthan,97.9,99.0,81.3 ,84.4 ,80.9,29.5 ,51.8
Baran ,Rajasthan,97.3,97.8,79.3 ,89.3 ,89.5,46.0 ,60.1
Jhalawar ,Rajasthan,98.3,98.5,72.3 ,81.5 ,93.6,34.0 ,51.7
Udaipur ,Rajasthan,96.1,97.4,62.3 ,86.8 ,94.3,34.0 ,61.4
Pratapgarh ,Rajasthan,96.4,97.1,52.9 ,75.8 ,84.5,29.0 ,53.0
North  District ,Sikkim,97.3,98.5,59.4 ,(90.8),24.5,31.8 ,37.0
West District ,Sikkim,99.3,99.3,70.4 ,(96.9),19.9,25.2 ,42.6
South District ,Sikkim,97.4,99.4,84.5 ,(86.4),20.8,24.8 ,39.9
East District ,Sikkim,91.8,94.2,43.8 ,*,29.9,17.8 ,43.3
Thiruvallur ,Tamil Nadu,100.0,100.0,85.4 ,(88.6),57.4,18.1 ,56.9
Chennai ,Tamil Nadu,100.0,100.0,89.9 ,(96.6),58.2,20.4 ,50.5
Kancheepuram ,Tamil Nadu,100.0,100.0,76.1 ,(69.1),59.7,20.6 ,57.0
Vellore ,Tamil Nadu,99.5,100.0,95.4 ,92.7 ,71.4,29.8 ,50.7
Tiruvannamalai ,Tamil Nadu,99.1,99.1,97.7 ,(97.1),69.6,30.6 ,56.3
Viluppuram ,Tamil Nadu,99.1,100.0,94.9 ,(88.5),77.6,23.9 ,62.6
Salem ,Tamil Nadu,100.0,100.0,85.0 ,(77.0),67.5,23.6 ,46.5
Namakkal ,Tamil Nadu,100.0,100.0,97.8 ,(83.9),68.8,25.2 ,51.9
Erode ,Tamil Nadu,100.0,100.0,93.9 ,(95.9),77.7,19.4 ,55.3
The Nilgiris ,Tamil Nadu,100.0,100.0,92.5 ,(90.1),74.5,26.7 ,44.4
Dindigul ,Tamil Nadu,97.0,98.6,96.2 ,92.6 ,71.9,27.1 ,42.9
Karur ,Tamil Nadu,100.0,99.2,95.7 ,(82.5),74.6,33.6 ,65.5
Tiruchirappalli ,Tamil Nadu,98.6,99.0,90.5 ,(97.1),67.8,27.6 ,62.5
Perambalur ,Tamil Nadu,100.0,100.0,92.2 ,(92.5),75.5,29.1 ,66.9
Ariyalur ,Tamil Nadu,100.0,100.0,91.4 ,(90.8),71.1,25.3 ,62.4
Cuddalore ,Tamil Nadu,99.2,99.1,82.2 ,(79.0),64.4,20.2 ,58.6
Nagapattinam ,Tamil Nadu,99.7,100.0,93.1 ,(93.8),70.9,32.3 ,63.2
Thiruvarur ,Tamil Nadu,100.0,100.0,92.3 ,(97.1),75.2,19.8 ,58.3
Thanjavur ,Tamil Nadu,100.0,100.0,93.7 ,(78.5),70.6,19.6 ,59.1
Pudukkottai ,Tamil Nadu,100.0,100.0,91.6 ,83.3 ,72.9,32.2 ,62.5
Sivaganga ,Tamil Nadu,100.0,100.0,90.9 ,(89.4),67.7,27.6 ,51.6
Madurai ,Tamil Nadu,100.0,100.0,89.5 ,(88.8),66.3,32.4 ,48.3
Theni ,Tamil Nadu,100.0,100.0,98.7 ,95.2 ,67.4,20.2 ,41.3
Virudhunagar ,Tamil Nadu,97.8,100.0,83.4 ,(76.7),51.3,29.2 ,57.1
Ramanathapuram ,Tamil Nadu,99.6,99.3,88.2 ,90.4 ,69.7,26.4 ,53.8
Thoothukkudi ,Tamil Nadu,100.0,100.0,80.7 ,(100.0),57.8,20.3 ,56.3
Tirunelveli ,Tamil Nadu,100.0,100.0,85.0 ,(93.3),61.3,29.4 ,51.5
Kanniyakumari ,Tamil Nadu,100.0,100.0,84.2 ,(96.0),64.1,17.3 ,45.5
Dharmapuri ,Tamil Nadu,99.6,99.6,94.5 ,90.6 ,75.5,28.7 ,42.0
Krishnagiri ,Tamil Nadu,99.6,100.0,93.1 ,87.3 ,73.6,29.0 ,44.3
Coimbatore ,Tamil Nadu,100.0,100.0,90.0 ,(94.5),61.0,23.0 ,48.8
Tiruppur ,Tamil Nadu,100.0,100.0,93.5 ,*,59.9,21.5 ,55.9
Adilabad ,Telangana,94.1,93.9,74.8 ,69.3 ,63.6,45.7 ,61.1
Bhadradri Kothagudem ,Telangana,97.4,94.2,70.1 ,80.4 ,59.4,28.4 ,69.3
Hyderabad ,Telangana,98.3,94.6,69.9 ,(73.8),48.9,30.4 ,52.5
Jagitial ,Telangana,94.4,91.9,81.9 ,(77.7),59.2,29.9 ,56.4
Jangoan ,Telangana,99.6,90.1,65.4 ,(84.2),71.7,33.4 ,57.3
Jayashankar Bhupalapally ,Telangana,99.5,95.1,72.7 ,(87.9),71.5,32.5 ,66.4
Jogulamba Gadwal ,Telangana,94.2,91.7,72.9 ,86.9 ,61.8,49.7 ,64.1
Kamareddy ,Telangana,97.1,93.2,79.5 ,75.5 ,66.5,33.4 ,59.5
Karimnagar ,Telangana,98.4,86.9,69.6 ,(73.4),58.6,30.3 ,61.1
Khammam ,Telangana,97.9,93.2,76.3 ,(86.6),60.4,22.2 ,62.2
Komaram Bheem Asifabad ,Telangana,82.0,83.4,68.8 ,76.2 ,63.6,38.1 ,67.3
Mahabubabad ,Telangana,97.7,95.4,67.7 ,(76.1),69.3,33.0 ,63.0
Mahabubnagar ,Telangana,98.1,97.6,62.6 ,89.4 ,70.3,42.6 ,55.1
Mancherial ,Telangana,90.1,96.9,64.7 ,(76.0),64.4,25.9 ,57.1
Medak ,Telangana,98.9,92.9,68.5 ,(69.3),61.2,36.4 ,54.8
Medchal-Malkajgiri ,Telangana,98.3,96.2,69.6 ,(76.1),53.8,33.4 ,57.4
Nagarkurnool ,Telangana,98.0,94.5,75.1 ,81.1 ,68.6,35.1 ,53.5
Nalgonda ,Telangana,98.3,99.0,65.7 ,(78.3),64.8,31.7 ,54.2
Nirmal ,Telangana,96.7,91.6,69.7 ,(75.3),49.9,31.7 ,58.1
Nizamabad ,Telangana,97.3,91.8,78.5 ,86.1 ,52.3,30.5 ,57.7
Peddapalli ,Telangana,96.5,96.2,77.9 ,(73.1),59.1,27.5 ,64.6
Rajanna Sircilla ,Telangana,97.6,95.4,67.1 ,84.1 ,62.8,22.4 ,56.6
Ranga Reddy ,Telangana,97.2,92.7,75.1 ,85.8 ,58.3,37.8 ,53.6
Sangareddy ,Telangana,93.0,95.1,66.4 ,78.5 ,58.1,32.9 ,47.9
Siddipet ,Telangana,99.7,90.5,62.6 ,(63.1),60.9,28.1 ,56.9
Suryapet ,Telangana,95.9,94.2,70.4 ,(70.4),63.1,29.1 ,58.1
Vikarabad ,Telangana,95.0,86.7,54.8 ,86.2 ,59.6,32.1 ,61.3
Wanaparthy ,Telangana,99.0,96.6,62.8 ,(87.0),70.1,40.4 ,58.5
Warangal Rural ,Telangana,100.0,94.5,70.4 ,(79.0),72.0,36.1 ,59.2
Warangal Urban ,Telangana,99.7,93.0,71.3 ,(70.1),62.0,29.5 ,57.8
Yadadri Bhuvanagiri ,Telangana,97.7,94.1,67.2 ,76.7 ,65.3,38.3 ,54.3
Dhalai ,Tripura,87.3,87.7,52.0 ,73.7 ,44.2,45.7 ,69.7
Gomati ,Tripura,93.2,94.1,40.6 ,(67.1),29.9,22.7 ,62.6
Khowai ,Tripura,95.7,95.2,41.5 ,(60.7),44.1,47.0 ,63.7
North Tripura ,Tripura,85.4,86.7,67.1 ,69.6 ,28.7,26.2 ,69.6
Sepahijala ,Tripura,87.7,87.2,52.8 ,(70.3),31.6,34.5 ,69.8
South Tripura ,Tripura,89.7,88.6,58.4 ,(48.5),37.3,25.5 ,66.8
Unakoti ,Tripura,71.5,66.0,24.6 ,58.3 ,28.0,31.8 ,67.4
West Tripura ,Tripura,95.3,96.9,61.2 ,(88.4),28.1,30.3 ,67.6
Saharanpur ,Uttar Pradesh,81.7,86.9,52.4 ,89.2 ,11.8,28.8 ,41.8
Bijnor ,Uttar Pradesh,83.7,89.4,48.8 ,90.6 ,18.8,36.2 ,45.9
Rampur ,Uttar Pradesh,81.0,81.1,50.4 ,79.4 ,13.1,40.4 ,55.7
Jyotiba Phule Nagar ,Uttar Pradesh,81.1,86.7,43.9 ,72.9 ,8.3,42.2 ,47.9
Meerut ,Uttar Pradesh,80.6,88.8,49.9 ,82.5 ,18.4,32.1 ,45.5
Baghpat ,Uttar Pradesh,80.9,82.3,42.4 ,83.9 ,12.5,25.5 ,52.6
Gautam Buddha Nagar ,Uttar Pradesh,86.6,90.1,52.7 ,68.2 ,23.8,25.5 ,59.3
Bulandshahr ,Uttar Pradesh,83.5,86.7,47.6 ,67.3 ,20.5,37.6 ,51.5
Aligarh ,Uttar Pradesh,82.6,85.5,44.7 ,70.1 ,17.6,35.0 ,56.4
Mahamaya Nagar ,Uttar Pradesh,80.3,82.5,27.8 ,71.6 ,10.9,39.1 ,58.1
Mathura ,Uttar Pradesh,79.5,81.5,39.3 ,73.6 ,10.8,31.6 ,63.5
Agra ,Uttar Pradesh,89.1,90.1,42.7 ,74.1 ,9.4,35.9 ,59.4
Firozabad ,Uttar Pradesh,80.1,83.3,39.3 ,67.1 ,13.4,46.9 ,57.7
Mainpuri ,Uttar Pradesh,82.7,84.7,38.1 ,75.0 ,16.1,44.3 ,58.2
Bareilly ,Uttar Pradesh,75.1,77.8,43.1 ,70.5 ,18.7,45.9 ,61.3
Pilibhit ,Uttar Pradesh,76.2,80.2,43.6 ,92.3 ,21.4,38.9 ,52.6
Shahjahanpur ,Uttar Pradesh,63.3,68.3,35.3 ,76.5 ,14.2,44.5 ,60.6
Kheri ,Uttar Pradesh,82.8,81.2,48.0 ,69.5 ,22.0,47.6 ,52.8
Sitapur ,Uttar Pradesh,84.8,87.8,35.4 ,65.9 ,23.2,47.8 ,55.2
Hardoi ,Uttar Pradesh,73.9,79.1,39.7 ,63.3 ,16.0,44.5 ,59.5
Unnao ,Uttar Pradesh,80.8,81.2,19.8 ,58.6 ,15.3,39.2 ,49.6
Lucknow ,Uttar Pradesh,91.3,87.9,53.1 ,68.9 ,15.8,32.1 ,55.9
Farrukhabad ,Uttar Pradesh,69.3,74.7,41.5 ,68.5 ,13.5,47.8 ,57.5
Kannauj ,Uttar Pradesh,76.4,81.5,46.4 ,55.8 ,15.3,43.0 ,65.2
Etawah ,Uttar Pradesh,85.2,88.0,43.7 ,77.7 ,17.9,38.8 ,57.6
Auraiya ,Uttar Pradesh,90.1,90.9,50.4 ,82.5 ,18.4,39.7 ,39.0
Kanpur Dehat ,Uttar Pradesh,84.3,83.8,54.4 ,56.3 ,17.9,44.1 ,54.6
Kanpur Nagar ,Uttar Pradesh,86.6,87.0,69.9 ,72.8 ,16.1,34.6 ,57.4
Jalaun ,Uttar Pradesh,85.1,85.6,62.8 ,66.2 ,17.6,45.1 ,44.0
Jhansi ,Uttar Pradesh,92.9,93.4,36.6 ,44.5 ,11.4,40.9 ,41.5
Lalitpur ,Uttar Pradesh,90.8,84.5,45.7 ,70.8 ,11.7,46.6 ,37.5
Hamirpur ,Uttar Pradesh,96.3,96.2,43.2 ,77.1 ,21.9,48.0 ,46.4
Mahoba ,Uttar Pradesh,96.3,97.0,46.2 ,70.7 ,16.2,42.3 ,49.5
Banda ,Uttar Pradesh,89.8,92.5,39.0 ,62.9 ,13.3,51.0 ,52.3
Chitrakoot ,Uttar Pradesh,81.1,78.4,30.3 ,63.7 ,17.4,47.5 ,46.7
Fatehpur ,Uttar Pradesh,81.4,85.6,38.1 ,55.7 ,16.8,51.1 ,63.7
Pratapgarh ,Uttar Pradesh,90.8,93.1,30.6 ,75.0 ,14.9,35.5 ,49.9
Kaushambi ,Uttar Pradesh,88.6,92.8,34.0 ,65.7 ,20.2,40.2 ,54.6
Allahabad ,Uttar Pradesh,83.2,85.5,45.9 ,55.8 ,20.6,37.9 ,46.5
Bara Banki ,Uttar Pradesh,76.0,73.3,22.6 ,64.4 ,14.6,41.9 ,55.0
Faizabad ,Uttar Pradesh,89.1,91.6,33.8 ,68.7 ,19.8,30.6 ,52.7
Ambedkar Nagar ,Uttar Pradesh,92.2,87.9,44.5 ,75.1 ,23.0,31.1 ,52.9
Bahraich ,Uttar Pradesh,67.7,70.7,34.3 ,51.8 ,10.1,52.1 ,48.8
Shrawasti ,Uttar Pradesh,80.4,84.3,42.4 ,59.6 ,13.5,50.9 ,44.6
Balrampur ,Uttar Pradesh,69.7,67.4,41.0 ,57.4 ,13.0,41.2 ,54.8
Gonda ,Uttar Pradesh,81.8,82.6,41.7 ,59.9 ,13.4,45.9 ,49.3
Siddharthnagar ,Uttar Pradesh,69.7,67.6,60.9 ,65.1 ,12.2,37.2 ,51.4
Basti ,Uttar Pradesh,93.2,92.0,31.5 ,73.8 ,15.8,35.9 ,40.3
Sant Kabir Nagar ,Uttar Pradesh,90.6,89.7,43.2 ,80.2 ,20.4,42.3 ,43.8
Mahrajganj ,Uttar Pradesh,93.3,92.0,52.5 ,76.2 ,18.2,40.5 ,47.3
Gorakhpur ,Uttar Pradesh,91.6,84.1,56.3 ,67.7 ,17.9,29.6 ,53.4
Kushinagar ,Uttar Pradesh,89.4,93.1,35.8 ,65.4 ,15.6,32.2 ,42.7
Deoria ,Uttar Pradesh,93.4,91.6,42.5 ,64.2 ,10.5,36.8 ,34.2
Azamgarh ,Uttar Pradesh,93.2,89.8,38.5 ,64.5 ,9.0,33.4 ,54.2
Mau ,Uttar Pradesh,94.7,90.7,43.2 ,59.1 ,16.0,25.4 ,44.5
Ballia ,Uttar Pradesh,90.0,93.1,30.5 ,62.2 ,10.6,43.8 ,53.0
Jaunpur ,Uttar Pradesh,88.8,86.7,47.6 ,75.1 ,12.0,40.5 ,34.1
Ghazipur ,Uttar Pradesh,88.3,90.5,29.2 ,60.8 ,10.6,39.3 ,46.2
Chandauli ,Uttar Pradesh,86.2,85.1,32.9 ,70.6 ,28.1,39.5 ,48.5
Varanasi ,Uttar Pradesh,95.2,93.4,51.4 ,79.3 ,12.8,37.4 ,38.2
Sant Ravidas Nagar (Bhadohi) ,Uttar Pradesh,90.3,92.3,25.8 ,62.2 ,18.8,42.7 ,43.2
Mirzapur ,Uttar Pradesh,91.1,88.6,36.5 ,68.3 ,15.0,43.4 ,42.3
Sonbhadra ,Uttar Pradesh,76.8,77.1,36.4 ,72.7 ,19.7,38.3 ,44.2
Etah ,Uttar Pradesh,76.7,80.8,33.6 ,55.5 ,12.8,48.8 ,56.0
Kanshiram Nagar ,Uttar Pradesh,74.8,77.2,38.1 ,69.2 ,15.1,45.1 ,66.1
Amethi ,Uttar Pradesh,90.8,91.4,31.7 ,75.9 ,20.9,35.8 ,46.6
Budaun ,Uttar Pradesh,72.3,73.1,40.6 ,69.5 ,13.6,51.8 ,56.2
Ghaziabad ,Uttar Pradesh,86.4,88.0,62.0 ,68.5 ,20.0,28.2 ,55.9
Hapur ,Uttar Pradesh,83.3,85.6,53.3 ,84.4 ,14.9,30.2 ,51.7
Moradabad ,Uttar Pradesh,80.3,85.6,33.2 ,84.5 ,17.1,34.7 ,45.5
Muzaffarnagar ,Uttar Pradesh,87.0,89.9,44.0 ,69.5 ,8.2,29.8 ,46.2
Rae Bareli ,Uttar Pradesh,89.5,90.8,43.6 ,71.4 ,16.8,47.0 ,48.3
Sambhal ,Uttar Pradesh,74.2,78.2,32.9 ,83.0 ,13.7,51.6 ,51.1
Shamli ,Uttar Pradesh,78.3,83.3,41.0 ,91.1 ,14.8,28.6 ,42.4
Sultanpur ,Uttar Pradesh,87.0,83.7,47.0 ,80.2 ,20.7,33.4 ,49.5
Uttarkashi ,Uttarakhand,85.9,84.5,66.8 ,81.8 ,80.3,34.1 ,60.8
Chamoli ,Uttarakhand,73.9,75.3,52.2 ,85.0 ,71.1,34.1 ,41.8
Rudraprayag ,Uttarakhand,86.6,85.8,76.5 ,91.4 ,76.6,25.2 ,40.7
Tehri Garhwal ,Uttarakhand,82.2,77.6,48.9 ,83.0 ,71.2,29.3 ,41.9
Dehradun ,Uttarakhand,91.7,92.7,75.3 ,(76.0),67.3,20.9 ,47.9
Garhwal ,Uttarakhand,76.0,76.9,39.6 ,(76.0),62.7,30.0 ,40.8
Pithoragarh ,Uttarakhand,84.9,83.2,58.7 ,96.0 ,72.8,25.6 ,25.2
Bageshwar ,Uttarakhand,82.0,85.0,67.9 ,(86.9),71.9,23.6 ,27.8
Almora ,Uttarakhand,80.1,85.4,44.3 ,(85.1),66.0,26.0 ,34.0
Champawat ,Uttarakhand,79.8,80.7,62.0 ,91.9 ,65.7,24.9 ,32.6
Nainital ,Uttarakhand,81.2,83.9,59.7 ,74.1 ,60.8,23.2 ,34.6
Udham Singh Nagar ,Uttarakhand,85.1,81.6,75.9 ,83.2 ,59.0,26.8 ,51.1
Hardwar ,Uttarakhand,79.8,83.2,48.5 ,76.5 ,46.6,31.1 ,42.8
Darjiling ,West Bengal,98.4,99.2,79.2 ,94.2 ,26.3,34.3 ,59.1
Jalpaiguri ,West Bengal,95.8,97.7,88.4 ,87.9 ,35.8,28.9 ,72.2
Koch Bihar ,West Bengal,93.0,92.5,77.3 ,94.2 ,36.0,28.7 ,74.9
Uttar Dinajpur ,West Bengal,76.9,84.7,70.1 ,84.4 ,21.0,44.8 ,71.9
Dakshin Dinajpur ,West Bengal,91.4,94.0,76.4 ,92.6 ,28.3,31.9 ,82.8
Maldah ,West Bengal,87.7,88.9,82.8 ,87.2 ,29.0,40.5 ,73.8
Murshidabad ,West Bengal,87.0,92.3,66.9 ,90.0 ,28.4,39.8 ,78.0
Birbhum ,West Bengal,90.3,92.2,78.4 ,81.6 ,37.7,37.0 ,78.2
Nadia ,West Bengal,97.7,98.6,71.2 ,(89.9),23.0,26.1 ,73.8
North Twenty Four Pargana ,West Bengal,97.5,98.3,89.9 ,(92.8),30.7,32.4 ,65.4
Hugli ,West Bengal,97.0,97.4,72.2 ,(95.4),26.5,28.9 ,75.1
Bankura ,West Bengal,93.3,93.8,75.7 ,(85.0),43.4,30.3 ,77.3
Puruliya ,West Bengal,89.8,91.4,57.8 ,84.7 ,35.6,36.9 ,76.9
Haora ,West Bengal,95.5,96.9,82.7 ,(87.8),20.1,27.5 ,65.6
Kolkata ,West Bengal,97.5,99.3,71.7 ,(80.2),21.1,29.6 ,58.4
South Twenty Four Pargana ,West Bengal,91.0,93.2,87.5 ,91.7 ,36.7,36.7 ,62.1
Paschim Medinipur ,West Bengal,87.6,95.1,63.1 ,76.9 ,25.8,31.1 ,82.0
Purba Medinipur ,West Bengal,91.5,94.6,56.8 ,88.4 ,21.5,25.8 ,70.5
Paschim Barddhaman ,West Bengal,89.8,91.3,70.4 ,62.4 ,21.8,39.7 ,66.5
